id,sno,state,district,factly_nam,category,type,facility_i,iso_minus_,iso_confm_,iso_suspec,o2suported,total_icu,ventilator,o2_manifol,ppe,n95,bio_med_wa,address,result_num,status,formatted_,place_id,location_t,lat,long,row_number,layer,path,faclty_nam,date
1888,1888,Maharashtra,THANE,TMC : BSUP Padale,DCCC,"Other than
Hospital",26045,655,0,655,0,0,0,0,13100,32750,1,TMC : BSUP Padale THANE Maharashtra,,,,ChIJq5cwLmy55zsR4EDgb1wYyjA,,19.1975258,72.9672792,2448,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1889,1889,Maharashtra,THANE,"TMC: Oscar
Multispeciality Hospital",DCCC,Hospital,26010,39,39,0,39,9,3,1,2000,1500,1,"TMC: Oscar
Multispeciality Hospital THANE Maharashtra",,,,ChIJ9ylvc3K55zsRvCDU0BklehM,,19.2118705,72.9574411,2449,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1890,1890,Maharashtra,THANE,Teoram Ashram,DCCC,"Other than
Hospital",19008,40,20,20,0,0,0,0,1,5,1,Teoram Ashram THANE Maharashtra,,,,ChIJWf12_vy45zsRgwLF94V9Ns8,,19.2183307,72.9780897,2450,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1891,1891,Maharashtra,THANE,Tata Amantra KDMC,DCCC,"Other than
Hospital",17964,2337,1587,750,0,0,0,0,1200,3000,1,Tata Amantra KDMC THANE Maharashtra,,,,ChIJcX4u_dq95zsRFoK7VWXuLWo,,19.2670855,73.0821785,2452,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1892,1892,Maharashtra,THANE,"Dhinar ashram
school ,Bhivandi",DCCC,"Other than
Hospital",25140,200,100,100,0,0,0,0,10,10,1,"Dhinar ashram
school ,Bhivandi THANE Maharashtra",,,,ChIJVVVVVZG95zsRFJ-46qAhw1k,,19.2701516,73.0700422,2453,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1893,1893,Maharashtra,THANE,"TMC: Param Hospital
& ICU",DCCC,Hospital,26020,18,18,0,18,10,5,1,2500,4000,1,"TMC: Param Hospital
& ICU THANE Maharashtra",,,,ChIJPamEzCK55zsRNAz6LN0914Y,,19.2112589,72.977055,2454,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1894,1894,Maharashtra,THANE,CIDCO Exhibition Hall Vashi ( NMMC),DCCC,Other than Hospital,24253,619,619,0,0,0,0,0,1000,300,1,CIDCO Exhibition Hall Vashi ( NMMC) THANE Maharashtra,,,,ChIJS0kcYEvB5zsRtuNUvPxAq98,,19.067382,72.9950329,2455,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
1895,1895,Maharashtra,THANE,"TMC: Aaarogyan
Multispeciality Hospital",DCCC,Hospital,26008,40,40,0,24,10,2,1,3000,2500,1,"TMC: Aaarogyan
Multispeciality Hospital THANE Maharashtra",,,,ChIJK4Vg3Ni45zsRK7NPJ8jf7sg,,19.184153,72.9767801,2457,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
2154,2154,Maharashtra,SANGLI,"Shaskiy Mulinche
 Vastigrah
 ,Kavathemahankal",DCCC,Other than Hospital,29953,25,25,0,0,0,0,0,130,200,1,"Shaskiy Mulinche
 Vastigrah
 ,Kavathemahankal SANGLI Maharashtra",0,OK,"Kavathe Mahankal, Maharashtra 416405, India",ChIJx1gDP9U2wTsRq0Ppye7wl94,APPROXIMATE,17.0089686,74.8653331,,,,,15th September 2020
1896,1896,Maharashtra,THANE,"TATA AMANTRA ,
UMC",DCCC,"Other than
Hospital",19007,440,200,240,0,0,0,0,10,50,1,"TATA AMANTRA ,
UMC THANE Maharashtra",,,,ChIJcX4u_dq95zsRFoK7VWXuLWo,,19.2670855,73.0821785,2458,Refactored,"Point?crs=EPSG:4326&field=fid:string(254,0)&field=sno:string(254,0)&field=state:string(254,0)&field=district:string(254,0)&field=faclty_nam:string(254,0)&field=type:string(254,0)&field=Facility_i:string(254,0)&field=iso_minus_:string(254,0)&field=iso_con",,15th September 2020
