st_x,st_y,name1_,timeperiod,area_id,indicator_,unit_id,subgroup_i,data_value
79.68268138438584,15.921698434384902,Andhra Pradesh,19,15,157,2,2,54862
79.68268138438584,15.921698434384902,Andhra Pradesh,19,15,157,2,1,197958
79.68268138438584,15.921698434384902,Andhra Pradesh,19,15,157,2,5,23080
79.68268138438584,15.921698434384902,Andhra Pradesh,19,15,157,2,4,104836
79.68268138438584,15.921698434384902,Andhra Pradesh,19,15,157,2,14,168851
79.68268138438584,15.921698434384902,Andhra Pradesh,19,15,157,2,15,221167
79.68268138438584,15.921698434384902,Andhra Pradesh,19,15,157,2,3,276427
79.68268138438584,15.921698434384902,Andhra Pradesh,19,15,157,2,7,107311
79.68268138438584,15.921698434384902,Andhra Pradesh,19,15,157,2,6,390265
76.34845639907418,34.51343304794109,Jammu & Kashmir,19,20,157,2,5,22399
76.34845639907418,34.51343304794109,Jammu & Kashmir,19,20,157,2,2,56419
76.34845639907418,34.51343304794109,Jammu & Kashmir,19,20,157,2,1,9499
76.34845639907418,34.51343304794109,Jammu & Kashmir,19,20,157,2,7,30620
76.34845639907418,34.51343304794109,Jammu & Kashmir,19,20,157,2,6,111392
76.34845639907418,34.51343304794109,Jammu & Kashmir,19,20,157,2,3,80097
76.34845639907418,34.51343304794109,Jammu & Kashmir,19,20,157,2,15,58934
76.34845639907418,34.51343304794109,Jammu & Kashmir,19,20,157,2,4,28748
76.34845639907418,34.51343304794109,Jammu & Kashmir,19,20,157,2,14,52504
77.2424342000505,31.753814706623977,Himachal Pradesh,19,18,157,2,2,18629
73.78411998985575,26.63330861454161,Rajasthan,19,17,157,2,14,593787
73.78411998985575,26.63330861454161,Rajasthan,19,17,157,2,4,297605
73.78411998985575,26.63330861454161,Rajasthan,19,17,157,2,5,288081
80.39188852297556,26.765530812857694,Uttar Pradesh,19,36,157,2,6,5222391
80.39188852297556,26.765530812857694,Uttar Pradesh,19,36,157,2,7,873042
80.39188852297556,26.765530812857694,Uttar Pradesh,19,36,157,2,3,4305013
80.39188852297556,26.765530812857694,Uttar Pradesh,19,36,157,2,15,2827272
80.39188852297556,26.765530812857694,Uttar Pradesh,19,36,157,2,14,2401297
80.39188852297556,26.765530812857694,Uttar Pradesh,19,36,157,2,4,1466334
80.39188852297556,26.765530812857694,Uttar Pradesh,19,36,157,2,5,80031
80.39188852297556,26.765530812857694,Uttar Pradesh,19,36,157,2,1,2773003
80.39188852297556,26.765530812857694,Uttar Pradesh,19,36,157,2,2,827650
77.2424342000505,31.753814706623977,Himachal Pradesh,19,18,157,2,6,39083
88.14992478228045,27.853660912740484,Sikkim,19,23,157,2,2,1455
77.2424342000505,31.753814706623977,Himachal Pradesh,19,18,157,2,3,35569
88.14992478228045,27.853660912740484,Sikkim,19,23,157,2,6,7428
77.2424342000505,31.753814706623977,Himachal Pradesh,19,18,157,2,7,3608
88.14992478228045,27.853660912740484,Sikkim,19,23,157,2,7,1777
77.2424342000505,31.753814706623977,Himachal Pradesh,19,18,157,2,15,23524
88.14992478228045,27.853660912740484,Sikkim,19,23,157,2,3,5619
77.2424342000505,31.753814706623977,Himachal Pradesh,19,18,157,2,1,3674
88.14992478228045,27.853660912740484,Sikkim,19,23,157,2,4,296
77.2424342000505,31.753814706623977,Himachal Pradesh,19,18,157,2,14,15819
88.14992478228045,27.853660912740484,Sikkim,19,23,157,2,5,2690
77.2424342000505,31.753814706623977,Himachal Pradesh,19,18,157,2,4,13566
88.14992478228045,27.853660912740484,Sikkim,19,23,157,2,1,3041
77.2424342000505,31.753814706623977,Himachal Pradesh,19,18,157,2,5,2080
93.99833942681764,26.49781985034464,Nagaland,19,26,157,2,4,1152
75.50966489747921,30.68628126217852,Punjab,19,19,157,2,1,32673
